City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
505,Santa Isabel,BR,87.8,heavy intensity rain,-23.3156,-46.2214,Chácara Sombra do Altíssimo
509,Sambava,MG,77.2,overcast clouds,-14.2667,50.1667,Melrose
512,Capitan Bado,PY,84.36,scattered clouds,-23.2667,-55.5333,Hotel Suiza
514,Arlit,NE,70.52,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
515,Goundi,TD,87.67,overcast clouds,9.3627,17.366,
517,Las Choapas,MX,86.0,smoke,17.9333,-94.0833,Hotel Jysmak
518,Hualmay,PE,73.94,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
521,Maturin,VE,87.94,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
524,Iralaya,HN,82.47,few clouds,15.0,-83.2333,Iglesia morava renovada
525,Cotonou,BJ,84.2,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
527,Brasilia De Minas,BR,77.25,few clouds,-16.2064,-44.4333,Hotel Neris
528,Doha,QA,81.0,clear sky,25.2867,51.5333,Doha Marriott Hotel
529,Bonthe,SL,79.43,clear sky,7.5264,-12.505,Bonthe Holiday Village
530,Sakete,BJ,84.2,scattered clouds,6.7362,2.6587,IBUKUN OLUWA
532,Nabire,ID,75.9,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
533,Clearwater,US,84.0,clear sky,27.9659,-82.8001,Shephard's Beach Resort
535,Ambovombe,MG,73.92,clear sky,-25.1667,46.0833,RELAHARA
537,Chateaubelair,VC,80.6,broken clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
538,Mogadishu,SO,79.77,broken clouds,2.0371,45.3438,Olympic Hotel
540,Bahadurganj,IN,71.02,clear sky,26.2667,87.8167,Usmania Cottage
544,Moron,AR,75.2,broken clouds,-34.6534,-58.6198,Hotel Morón
545,Sinnamary,GF,79.43,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
549,Gizo,SB,83.17,broken clouds,-8.103,156.8419,Imagination Island
551,Soyo,AO,78.85,overcast clouds,-6.1349,12.3689,Hotel Mpampa
552,Luang Prabang,LA,74.8,scattered clouds,19.8856,102.1347,Villa Oasis
554,Cumbum,IN,72.54,scattered clouds,9.7333,77.3,Sagar hotel
555,Chalmette,US,82.4,overcast clouds,29.9427,-89.9634,Marina Motel Chalmette
560,San Angelo,US,86.0,clear sky,31.4638,-100.43700000000001,"Motel 6 San Angelo, TX"
561,Wattegama,LK,74.5,moderate rain,6.7989,81.4808,
563,Keta,GH,84.2,few clouds,5.9179,0.9879,A&Y Wild Camp Ghana
565,Jacareacanga,BR,89.6,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
567,Waingapu,ID,76.98,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
568,Vao,NC,77.94,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
569,Maragogipe,BR,84.2,scattered clouds,-12.7778,-38.9194,Villa Carmelito
570,Pangkalanbuun,ID,74.7,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
574,Singaraja,ID,78.85,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
575,Toamasina,MG,78.8,moderate rain,-18.1667,49.3833,Hotel H1
578,Santa Fe,AR,75.99,overcast clouds,-31.6333,-60.7,Conquistador Hotel
581,Sao Sepe,BR,73.4,light rain,-30.1606,-53.5653,Trevo Parque Hotel
584,Zhuhai,CN,75.0,broken clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
585,Dong Hoi,VN,72.18,overcast clouds,17.4833,106.6,Nam Long Hotel
587,Noumea,NC,80.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
596,Barra Da Estiva,BR,72.59,clear sky,-13.6261,-41.3269,Pousada Central
597,Cockburn Town,TC,77.54,clear sky,21.4612,-71.1419,Osprey Beach Hotel
598,Jieshi,CN,71.01,overcast clouds,22.8134,115.8257,Yuehai Hotel
