City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
284,Zhangjiakou,CN,2021-03-26 19:37:33,40.81,114.8794,44.22,85,0,1.01
285,Nemuro,JP,2021-03-26 19:37:33,43.3236,145.575,29.05,67,0,22.66
286,Djambala,CG,2021-03-26 19:37:34,-2.5447,14.7533,68.25,93,100,1.43
287,Clyde River,CA,2021-03-26 19:37:34,70.4692,-68.5914,-5.8,65,75,4.94
288,Maceio,BR,2021-03-26 19:32:41,-9.6658,-35.7353,78.8,89,75,5.75
289,Asfi,MA,2021-03-26 19:37:35,32.2994,-9.2372,67.95,49,97,11.01
290,Plettenberg Bay,ZA,2021-03-26 19:37:35,-34.0527,23.3716,66.85,80,100,5.77
291,Saint-Philippe,RE,2021-03-26 19:37:36,-21.3585,55.7679,78.8,83,20,3.44
292,Terrak,NO,2021-03-26 19:37:36,65.087,12.3715,48.2,49,0,20.71
293,Yarmouth,US,2021-03-26 19:34:09,41.7057,-70.2286,57.99,100,90,27.63
