City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Port Blair,IN,11.6667,92.75,81.25,74,75,6.22,broken clouds
230,Ahipara,NZ,-35.1667,173.1667,67.6,78,90,13.62,overcast clouds
231,Bela,IN,25.9333,81.9833,72.97,17,0,4.25,clear sky
232,Karpathos,GR,35.507,27.2132,51.8,54,5,13.8,clear sky
233,Khandyga,RU,62.6667,135.6,4.95,88,100,3.87,overcast clouds
234,Shetpe,KZ,44.1667,52.1167,38.95,78,88,15.32,overcast clouds
235,Tupik,RU,54.4253,119.9327,20.91,97,99,1.32,light snow
236,Mataram,ID,-8.5833,116.1167,77.65,85,98,5.66,overcast clouds
237,Batagay,RU,67.6333,134.6333,-0.62,96,100,4.45,overcast clouds
238,Sangar,RU,63.9242,127.4739,9.03,93,100,15.1,light snow
239,Prachuap Khiri Khan,TH,12.2167,99.75,82.99,65,72,3.06,broken clouds
240,Acapulco,MX,16.8634,-99.8901,84.2,61,20,8.05,few clouds
241,Baykit,RU,61.67,96.37,8.31,99,100,2.39,overcast clouds
242,Latina,IT,41.45,13.1,50.0,88,12,3.0,few clouds
243,Salisbury,GB,51.0693,-1.7957,43.0,65,75,11.5,broken clouds
244,Karratha,AU,-20.7377,116.8463,80.74,70,0,5.73,clear sky
245,Kisangani,CD,0.5167,25.2,68.0,100,90,4.61,overcast clouds
246,Shache,CN,38.4167,77.2406,57.33,24,68,6.76,broken clouds
247,Comodoro Rivadavia,AR,-45.8667,-67.5,62.6,59,0,8.05,clear sky
248,Hamilton,US,39.1834,-84.5333,57.99,67,90,8.05,overcast clouds
249,Saldanha,ZA,-33.0117,17.9442,64.4,77,0,3.44,clear sky
250,Lazaro Cardenas,MX,17.9583,-102.2,80.85,52,11,9.93,few clouds
251,Durango,MX,24.8333,-104.8333,78.85,5,18,20.78,few clouds
252,Copiapo,CL,-27.3667,-70.3333,62.6,67,0,16.11,clear sky
253,Ratnagiri,IN,16.9833,73.3,82.63,39,0,6.55,clear sky
254,Halifax,CA,44.6453,-63.5724,46.99,100,90,8.05,fog
255,Ormara,PK,25.2088,64.6357,76.48,64,6,10.94,clear sky
256,Sioux Falls,US,43.55,-96.7003,55.4,50,90,18.41,overcast clouds
257,Ntcheu,MW,-14.8203,34.6359,62.83,94,2,2.39,clear sky
258,Presidente Medici,BR,-11.1753,-61.9014,82.42,83,25,0.85,scattered clouds
259,Warrington,GB,53.3925,-2.5802,43.0,87,90,17.27,overcast clouds
260,Ippy,CF,6.2679,21.2247,68.77,89,99,3.71,overcast clouds
